               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.031837,            0.029689,          0.00052693,             0.92239,             0.83753,             0.88468,             0.40338,            0.042773,            0.035476,            0.002725,            0.004951,            0.004951,            0.004951
                  53,            0.031456,            0.029729,           0.0005475,             0.92316,             0.83802,             0.88429,             0.40683,             0.04275,            0.035203,           0.0021357,            0.004852,            0.004852,            0.004852
                  54,            0.031485,            0.029444,          0.00049289,             0.92576,             0.83858,             0.88566,             0.40555,            0.042994,            0.035357,           0.0024258,            0.004753,            0.004753,            0.004753
                  55,            0.031058,            0.028984,          0.00050598,             0.92046,             0.83416,             0.87703,             0.40229,            0.042911,            0.035665,           0.0027988,            0.004654,            0.004654,            0.004654
                  56,             0.03099,            0.029512,           0.0005098,             0.91938,             0.84685,             0.88449,             0.40148,             0.04322,            0.035991,           0.0024894,            0.004555,            0.004555,            0.004555
                  57,            0.031279,            0.029098,          0.00055568,             0.91894,             0.84949,             0.89095,             0.40889,            0.042863,            0.035915,           0.0022746,            0.004456,            0.004456,            0.004456
                  58,            0.030846,            0.029253,          0.00054933,             0.91723,             0.85033,             0.88659,             0.40657,            0.043077,            0.035891,           0.0024773,            0.004357,            0.004357,            0.004357
                  59,            0.030527,            0.029051,          0.00049212,              0.9177,             0.85105,              0.8799,             0.40351,            0.042962,            0.036471,           0.0024463,            0.004258,            0.004258,            0.004258
                  60,            0.030483,            0.028881,          0.00048238,             0.92174,             0.84507,             0.88246,             0.40556,            0.042882,            0.036044,           0.0021752,            0.004159,            0.004159,            0.004159
                  61,            0.030456,            0.029139,           0.0005133,             0.91414,             0.83664,             0.87574,             0.40748,            0.042807,            0.036501,           0.0025372,             0.00406,             0.00406,             0.00406
